,Date Local,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
0,2000-01-01,15.208332999999998,0.022917,1.8229165,0.352193
1,2001-01-01,22.75,0.014458000000000002,1.8562500000000002,0.576864
2,2002-01-01,17.208333,0.01575,0.61875,0.18892550000000002
3,2003-01-01,24.375,0.014417,1.24375,0.5820175000000001
4,2004-01-01,15.125,0.0175,0.8229165,0.311842
5,2005-01-01,19.0,0.006667,1.1520835,0.47785050000000007
6,2006-01-01,23.541667,0.017292,1.2041665000000001,0.5899125000000001
7,2007-01-01,18.791667,0.0125,1.1979165,0.46940799999999994
8,2008-01-01,16.5,0.0275,0.375,0.43245599999999995
9,2009-01-01,18.26087,0.013041999999999998,1.331056,0.369498
10,2010-01-01,17.291667,0.022583000000000002,0.6583335,0.48574550000000005
11,2000-01-10,13.375,0.026083,1.2833335,0.3041665
12,2001-01-10,8.916667,0.033125,0.11875,0.2
13,2002-01-10,6.478261,0.022958000000000003,1.3166665,0.3125
14,2003-01-10,23.73913,0.019791999999999997,1.6520835,0.39166650000000003
15,2004-01-10,17.25,0.017667,0.6916665,0.391667
16,2005-01-10,15.541667000000002,0.030083,0.35624999999999996,0.36250000000000004
17,2006-01-10,15.083332999999998,0.024125,0.9541664999999999,0.3416665
18,2007-01-10,8.625,0.020708,0.4416665,0.25416649999999996
19,2008-01-10,13.173913,0.0275,1.0954545,0.234058
20,2009-01-10,14.083332999999998,0.028042,0.0395835,0.2541665
21,2010-01-10,11.041667,0.0266875,0.43333325,0.18125000000000002
22,2000-01-11,21.958333,0.014333000000000002,2.35625,0.48124999999999996
23,2001-01-11,16.217391,0.012875,1.172671,0.31059800000000004
24,2002-01-11,24.958333,0.014833,1.3166665,0.5125
25,2003-01-11,15.041667000000002,0.02275,1.24375,0.3333335
26,2004-01-11,12.75,0.016791999999999998,0.0395835,0.37708299999999995
27,2005-01-11,16.541667,0.023125,0.3229165,0.5
28,2006-01-11,20.26087,0.01625,0.75559,0.45416650000000003
29,2007-01-11,21.954545,0.020041999999999997,1.086646,0.2729165
30,2008-01-11,18.625,0.018833000000000003,1.0791665000000001,0.28958300000000003
31,2009-01-11,11.916667,0.023042,0.5333335,0.26875
32,2010-01-11,16.591666500000002,0.0225,0.2635415,0.22395849999999998
33,2000-01-12,29.833333000000003,0.008083,3.8625,0.8104165
34,2001-01-12,24.125,0.014792,1.2645834999999999,0.5708329999999999
35,2002-01-12,17.791667,0.011958,0.8958335,0.49375
36,2003-01-12,25.583333,0.013208000000000001,2.1,0.5375
37,2004-01-12,21.625,0.007958,1.6916665,0.6333335
38,2005-01-12,26.75,0.012958,1.1979165,0.6416664999999999
39,2006-01-12,25.125,0.011082999999999999,1.3229165,0.8770834999999999
40,2007-01-12,5.9166669999999995,0.030042000000000003,0.7833335,0.2270835
41,2008-01-12,22.416667,0.010208,1.2041665000000001,0.675
42,2009-01-12,18.583333,0.013000000000000001,0.6583335,0.44583300000000003
43,2010-01-12,24.5975545,0.011854000000000003,0.40317924999999993,0.49820075
44,2000-01-02,27.0,0.019833,1.9083335,0.7
45,2001-01-02,28.714285999999998,0.011583,0.8625,0.830435
46,2002-01-02,19.416667,0.02675,0.7770835,0.5
47,2003-01-02,19.291667,0.021583,1.1916665,0.5625
48,2004-01-02,20.875,0.021292,1.0791665000000001,0.527083
49,2005-01-02,15.208332999999998,0.017833,0.0395835,0.40208299999999997
50,2006-01-02,27.791666999999997,0.014208000000000002,1.9479165,0.5104165
51,2007-01-02,17.3,0.017,0.1979165,0.25416700000000003
52,2008-01-02,26.125,0.016625,1.4874999999999998,0.44375
53,2009-01-02,22.25,0.021041999999999998,1.0,0.3395835
54,2010-01-02,14.875,0.02,1.0791665000000001,0.31666649999999996
55,2000-01-03,20.166667,0.027375,1.2625,0.37291650000000004
56,2001-01-03,17.041667,0.018542,3.0333335,0.46385849999999995
57,2002-01-03,12.833333,0.037708,1.3041665,0.475
58,2004-01-03,19.375,0.025875,1.0333335,0.6125
59,2005-01-03,19.416667,0.016416999999999998,0.61875,0.46875
60,2006-01-03,29.26087,0.004458,1.338961,0.6020835
61,2007-01-03,18.375,0.023167,1.3229165,0.322917
62,2008-01-03,14.791667000000002,0.029792000000000003,0.4020835,0.24791700000000003
63,2009-01-03,9.458333,0.035375,0.0,0.2666665
64,2010-01-03,14.791667000000002,0.022208000000000002,0.20416649999999997,0.4041665
65,2000-01-04,15.416667000000002,0.034832999999999996,1.11875,0.37916700000000003
66,2001-01-04,16.166667,0.036167000000000005,2.1520835,0.43125
67,2002-01-04,17.083333,0.034875,0.8687499999999999,0.37916649999999996
68,2003-01-04,12.625,0.031042,1.3624999999999998,0.41875
69,2004-01-04,10.541667,0.025083,1.0,0.325
70,2005-01-04,7.125,0.030667000000000003,0.0,0.275
71,2006-01-04,13.0,0.027792,0.20416649999999997,0.325
72,2007-01-04,14.958332999999998,0.032583,0.9145835,0.40833300000000006
73,2008-01-04,12.458333,0.0285,0.36250000000000004,0.2270835
74,2009-01-04,11.041667,0.036375,0.1979165,0.2583335
75,2010-01-04,4.3333330000000005,0.041458,0.0791665,0.20208350000000003
76,2000-01-05,26.625,0.039458,3.48125,0.49583350000000004
77,2001-01-05,21.695652,0.034792000000000003,0.395652,0.47029
78,2002-01-05,13.916667000000002,0.036917,0.9083335,0.31875
79,2003-01-05,18.157895,0.032625,0.9714285,0.39166650000000003
80,2004-01-05,16.333333,0.04925,1.0729165,0.3229165
81,2005-01-05,13.5,0.037792,0.20416649999999997,0.29375
82,2006-01-05,13.75,0.031458,0.0791665,0.31666649999999996
83,2007-01-05,9.0,0.036125,1.0395835,0.28541649999999996
84,2008-01-05,8.666667,0.048458,1.7770835,0.1979165
85,2009-01-05,12.333333,0.040542,0.7895835,0.2520835
86,2010-01-05,7.2916669999999995,0.036875,0.0395835,0.2541665
